,titles_name,urls,page_numbers,download_numbers
0,"Bruce Hartpence, Praxiskurs Netzwerkgrundlagen, O´Reilly, ISBN 9783868991512",https://www.pdfdrive.com/bruce-hartpence-praxiskurs-netzwerkgrundlagen-oreilly-isbn-9783868991512-e111102230.html,24,7
1,O Reilly Auto Parts,https://www.pdfdrive.com/o-reilly-auto-parts-e50004769.html,20,2
2,"O' Reilly, A., Ryan, D. and Hickey, T. ; (2010)",https://www.pdfdrive.com/o-reilly-a-ryan-d-and-hickey-t-2010-e38331887.html,20,0
3,"Redalyc.La hija del Judío, de Justo Sierra O´Reilly: historia de un texto",https://www.pdfdrive.com/redalycla-hija-del-judío-de-justo-sierra-oreilly-historia-de-un-texto-e34089558.html,12,0
4,kevin reilly world history.pdf,https://www.pdfdrive.com/kevin-reilly-world-historypdf-e42284288.html,21,38
5,Diagnostic Control Systems (Earned Value Management) (U),https://www.pdfdrive.com/diagnostic-control-systems-earned-value-management-u-e1150007.html,21,0
6,Harmonia Lodge monia Lodge monia Lodge monia Lodge,https://www.pdfdrive.com/harmonia-lodge-monia-lodge-monia-lodge-monia-lodge-e44774424.html,18,0
7,construir redes na Web 2.0,https://www.pdfdrive.com/construir-redes-na-web-20-e48687026.html,19,0
8,"Electronic-discourse (E-discourse): Spoken, written or a new hybrid?",https://www.pdfdrive.com/electronic-discourse-e-discourse-spoken-written-or-a-new-hybrid-e11784407.html,24,3
9,Praxiswissen Joomla!,https://www.pdfdrive.com/praxiswissen-joomla-e135005676.html,24,2
10,nominee book - Greater Boston Real Estate Board,https://www.pdfdrive.com/nominee-book-greater-boston-real-estate-board-e16295965.html,24,0
11,ISA 673 Operating Systems' Security - George Mason University,https://www.pdfdrive.com/isa-673-operating-systems-security-george-mason-university-e6442973.html,24,3
12,What is the Internet of Things 15efl,https://www.pdfdrive.com/what-is-the-internet-of-things-15efl-e3846333.html,24,2
13,Bibliografia da Licenciatura em Engenharia Electrónica e Telecomunicações e de Computadores,https://www.pdfdrive.com/bibliografia-da-licenciatura-em-engenharia-electrónica-e-telecomunicações-e-de-computadores-e40895069.html,24,0
14,Control de Aedes aegypti,https://www.pdfdrive.com/control-de-aedes-aegypti-e34028621.html,24,0
15,COMPUTACIÓN EN LA NUBE Notas para una estrategia,https://www.pdfdrive.com/computaciÓn-en-la-nube-notas-para-una-estrategia-e58153492.html,24,0
16,The Pure Word of God,https://www.pdfdrive.com/the-pure-word-of-god-e55030621.html,24,1
17,[PDF] manning java certification.pdf,https://www.pdfdrive.com/pdf-manning-java-certificationpdf-e41942474.html,24,0
18,Understanding Homophobic Bullying,https://www.pdfdrive.com/understanding-homophobic-bullying-e47271518.html,24,0
19,O Uso da rede social fragmentada como fonte de referências na prática de Lifestreaming,https://www.pdfdrive.com/o-uso-da-rede-social-fragmentada-como-fonte-de-referências-na-prática-de-lifestreaming-e51101770.html,18,0
20,head first hibernate.pdf,https://www.pdfdrive.com/head-first-hibernatepdf-e42206955.html,23,4
21,NQC - GSyC,https://www.pdfdrive.com/nqc-gsyc-e37506103.html,23,0
22,uma visão geral da Internet pós-bolha.com,https://www.pdfdrive.com/uma-visão-geral-da-internet-pós-bolhacom-e43731372.html,23,0
23,02/09/2016 M.Sc. Biotechnology First Year,https://www.pdfdrive.com/02092016-msc-biotechnology-first-year-e46694420.html,23,1
24,Suburban Life – Publication Listing 2017,https://www.pdfdrive.com/suburban-life-publication-listing-2017-e52260873.html,23,0
25,head first spring mvc.pdf,https://www.pdfdrive.com/head-first-spring-mvcpdf-e42206796.html,21,14
26,Narrow-band search of continuous gravitational-wave signals,https://www.pdfdrive.com/narrow-band-search-of-continuous-gravitational-wave-signals-e24256733.html,15,0
27,From resultssets to resultstables in Stata - Imperial College London,https://www.pdfdrive.com/from-resultssets-to-resultstables-in-stata-imperial-college-london-e13842868.html,22,0
28,Mailing #2 - Pritzker School of Medicine - University of Chicago,https://www.pdfdrive.com/mailing-2-pritzker-school-of-medicine-university-of-chicago-e6364035.html,22,0
29,A Bibliography of Books and Manuals on the Oracle Database System,https://www.pdfdrive.com/a-bibliography-of-books-and-manuals-on-the-oracle-database-system-e5727881.html,22,0
30,Bibliografia da Licenciatura em Engenharia Informática e Computadores,https://www.pdfdrive.com/bibliografia-da-licenciatura-em-engenharia-informática-e-computadores-e40895489.html,22,0
31,eric roberts java.pdf,https://www.pdfdrive.com/eric-roberts-javapdf-e42253437.html,22,2
32,Asterisk,https://www.pdfdrive.com/asterisk-e91897380.html,22,0
33,Secure Programming Techniques,https://www.pdfdrive.com/secure-programming-techniques-e15472515.html,21,1
34,Free sample - Take Control,https://www.pdfdrive.com/free-sample-take-control-e6792372.html,21,0
35,download CV - Louis Rosenfeld,https://www.pdfdrive.com/download-cv-louis-rosenfeld-e7576318.html,21,0
36,Ranch Voice Winter 2013-14,https://www.pdfdrive.com/ranch-voice-winter-2013-14-e20868061.html,21,0
37,xxxxxxxxxx makalenin türkçe başlığı xxxxxxxxxxxxx xxxxxxxxxxxxxxx xxxxxxxxx,https://www.pdfdrive.com/xxxxxxxxxx-makalenin-türkçe-başlığı-xxxxxxxxxxxxx-xxxxxxxxxxxxxxx-xxxxxxxxx-e53935756.html,21,1
38,Precast Walls,https://www.pdfdrive.com/precast-walls-e43757127.html,21,0
39,"The Edition, 7th of November, 2012, Vol. 2, No. 4, 2012",https://www.pdfdrive.com/the-edition-7th-of-november-2012-vol-2-no-4-2012-e117433485.html,21,0
40,Part 10. Learning How To RETHINK Angry Feelings.,https://www.pdfdrive.com/part-10-learning-how-to-rethink-angry-feelings-e25072739.html,18,14
41,NERC CIP Guidelines - Cooper Industries,https://www.pdfdrive.com/nerc-cip-guidelines-cooper-industries-e9202457.html,20,0
42,"101.2_3 Booten, Runlevels, Shutdown, Neustart File",https://www.pdfdrive.com/1012_3-booten-runlevels-shutdown-neustart-file-e40558773.html,20,0
43,Connecting R to the Sensor Web,https://www.pdfdrive.com/connecting-r-to-the-sensor-web-e38282012.html,20,0
44,Redalyc.Compromiso organizacional en una muestra de trabajadores mexicanos,https://www.pdfdrive.com/redalyccompromiso-organizacional-en-una-muestra-de-trabajadores-mexicanos-e59128839.html,20,0
45,Advanced Engineering Mathematics [Compulsory],https://www.pdfdrive.com/advanced-engineering-mathematics-compulsory-e58171956.html,20,0
46,Mestrado em Engenharia Informática e Computadores,https://www.pdfdrive.com/mestrado-em-engenharia-informática-e-computadores-e47819871.html,20,0
47,Mestrado em Engenharia Informática e Computadores,https://www.pdfdrive.com/mestrado-em-engenharia-informática-e-computadores-e49534793.html,20,0
48,Area Reports March 2017,https://www.pdfdrive.com/area-reports-march-2017-e48604841.html,20,0
49,Teuken Mexico.indd,https://www.pdfdrive.com/teuken-mexicoindd-e50123558.html,20,0
50,Dinamizzazione e specificità in omeopatia,https://www.pdfdrive.com/dinamizzazione-e-specificità-in-omeopatia-e160025237.html,20,0
51,this year?s Middlemarch,https://www.pdfdrive.com/this-years-middlemarch-e60757663.html,20,0
52,Tematy prac dyplomowych inżynierskich 2012 dla studiów,https://www.pdfdrive.com/tematy-prac-dyplomowych-inżynierskich-2012-dla-studiów-e14356287.html,19,0
53,The Power of Music - Just Better Care,https://www.pdfdrive.com/the-power-of-music-just-better-care-e13657088.html,19,0
54,2014 - School of Communication - Northwestern University,https://www.pdfdrive.com/2014-school-of-communication-northwestern-university-e10487081.html,19,0
55,Part 6. Thinking Straight.,https://www.pdfdrive.com/part-6-thinking-straight-e38583939.html,18,7
56,Semester 6 Weekly Schedule,https://www.pdfdrive.com/semester-6-weekly-schedule-e31035842.html,19,0
57,Maryland Heights,https://www.pdfdrive.com/maryland-heights-e19964438.html,19,0
58,Organizing for ambidexterity,https://www.pdfdrive.com/organizing-for-ambidexterity-e50334852.html,19,0
59,Part 10. Learning How To RETHINK Angry Feelings.,https://www.pdfdrive.com/part-10-learning-how-to-rethink-angry-feelings-e50186175.html,18,4
60,Part 4. Expressing How I Feel.,https://www.pdfdrive.com/part-4-expressing-how-i-feel-e40925758.html,17,7
61,semester-vi,https://www.pdfdrive.com/semester-vi-e43198818.html,18,2
62,Part 6. Thinking Straight.,https://www.pdfdrive.com/part-6-thinking-straight-e23481336.html,18,0
63,ferramentas para avaliação de qualidade de código em - CES/JF,https://www.pdfdrive.com/ferramentas-para-avaliação-de-qualidade-de-código-em-cesjf-e17101933.html,18,0
64,Seed Potato Workshop,https://www.pdfdrive.com/seed-potato-workshop-e59392786.html,18,0
65,One of only two books I carry about – the other is the O,https://www.pdfdrive.com/one-of-only-two-books-i-carry-about-the-other-is-the-o-e37901138.html,15,0
66,Part 4. Expressing How I Feel.,https://www.pdfdrive.com/part-4-expressing-how-i-feel-e40766165.html,17,1
67,7th grade Orchestra - Fairfield Public Schools,https://www.pdfdrive.com/7th-grade-orchestra-fairfield-public-schools-e37425715.html,17,1
68,Sales used for FY2018 values,https://www.pdfdrive.com/sales-used-for-fy2018-values-e56251578.html,17,0
69,Poglavje 4 Izražanje čustev,https://www.pdfdrive.com/poglavje-4-izražanje-čustev-e105756379.html,17,0
70,Баженова,https://www.pdfdrive.com/Баженова-e149938559.html,17,0
71,Establishing the European Qualifications Framework in Scotland,https://www.pdfdrive.com/establishing-the-european-qualifications-framework-in-scotland-e1905604.html,16,0
72,Learning Android - cdn.oreilly.com,https://www.pdfdrive.com/learning-android-cdnoreillycom-e6141061.html,16,2
73,Thème Informatique,https://www.pdfdrive.com/thème-informatique-e38909208.html,16,0
74,Autotuning Algorithmic Choice for Input Sensitivity,https://www.pdfdrive.com/autotuning-algorithmic-choice-for-input-sensitivity-e29288206.html,16,0
75,2014 Newsletter,https://www.pdfdrive.com/2014-newsletter-e25244868.html,16,0
76,Web Engineering COT 402 LTP Theory,https://www.pdfdrive.com/web-engineering-cot-402-ltp-theory-e43750235.html,16,0
77,Zagadnienia konstrukcji oprogramowania komponentowego,https://www.pdfdrive.com/zagadnienia-konstrukcji-oprogramowania-komponentowego-e41933025.html,16,0
78,An Overview of the German Educational Domain,https://www.pdfdrive.com/an-overview-of-the-german-educational-domain-e47148168.html,16,0
79,"The Holy Bible Versus the Unholy Church, Revelation 17:1-5 2015 updates in blue text with some ...",https://www.pdfdrive.com/the-holy-bible-versus-the-unholy-church-revelation-171-5-2015-updates-in-blue-text-with-some-e44458501.html,16,1
80,Computer Science Honours,https://www.pdfdrive.com/computer-science-honours-e51720544.html,16,0
81,yii application example.pdf,https://www.pdfdrive.com/yii-application-examplepdf-e41934634.html,15,4
82,HISTORIA DE PUERTO RICO - Escuela Educación,https://www.pdfdrive.com/historia-de-puerto-rico-escuela-educación-e13970647.html,15,0
83,Reinvigorating Educational Design for an Online World,https://www.pdfdrive.com/reinvigorating-educational-design-for-an-online-world-e294114.html,15,0
84,Paper 1.pdf,https://www.pdfdrive.com/paper-1pdf-e29413371.html,15,0
85,Reinvigorating Educational Design for an Online World,https://www.pdfdrive.com/reinvigorating-educational-design-for-an-online-world-e20620810.html,15,0
86,"Smithfield City Planning Commission November 18, 2015 MINUTES",https://www.pdfdrive.com/smithfield-city-planning-commission-november-18-2015-minutes-e18289815.html,15,0
87,The Potential of User-Generated Cartography: A Case Study of the OpenStreetMap Project and ...,https://www.pdfdrive.com/the-potential-of-user-generated-cartography-a-case-study-of-the-openstreetmap-project-and-e56246864.html,15,0
88,libro fun way 3.pdf,https://www.pdfdrive.com/libro-fun-way-3pdf-e41854898.html,15,0
89,OHNAI Spring Newsletter 2012,https://www.pdfdrive.com/ohnai-spring-newsletter-2012-e41830363.html,15,0
90,Artigo Padroes de Projeto – Exemplo de Arquitetura e Conclusões,https://www.pdfdrive.com/artigo-padroes-de-projeto-exemplo-de-arquitetura-e-conclusões-e45335216.html,15,0
91,"Prolog. Constants, Variables, Terms, Atoms, Clauses Syntax and Semantics",https://www.pdfdrive.com/prolog-constants-variables-terms-atoms-clauses-syntax-and-semantics-e46321583.html,15,0
92,Diseño e Implementación con J2EE,https://www.pdfdrive.com/diseño-e-implementación-con-j2ee-e46184030.html,15,0
93,"FINS3640 Investment Management Modelling, Semester 2 - UNSW",https://www.pdfdrive.com/fins3640-investment-management-modelling-semester-2-unsw-e14234666.html,14,0
94,Fiz: A Component Framework for Web Applications - Stanford,https://www.pdfdrive.com/fiz-a-component-framework-for-web-applications-stanford-e16583015.html,14,0
95,"1 Natural language support - Department of Computer Science, HKU",https://www.pdfdrive.com/1-natural-language-support-department-of-computer-science-hku-e7028732.html,14,0
96,Pre-Cast Concrete Tanks - Precast Concrete Solutions - O'Reilly,https://www.pdfdrive.com/pre-cast-concrete-tanks-precast-concrete-solutions-oreilly-e349052.html,14,1
97,Study on MU-MIMO feature in 802.11ac using MATLAB,https://www.pdfdrive.com/study-on-mu-mimo-feature-in-80211ac-using-matlab-e38304201.html,14,0
98,Tatuajes,https://www.pdfdrive.com/tatuajes-e58397009.html,14,1
99,The Pure Word of God,https://www.pdfdrive.com/the-pure-word-of-god-e56521130.html,14,1
100,"Fat phobia: measuring, understanding, and changing anti-fat attitudes",https://www.pdfdrive.com/fat-phobia-measuring-understanding-and-changing-anti-fat-attitudes-e55572473.html,14,0
101,Trilobite,https://www.pdfdrive.com/trilobite-e45024109.html,14,0
102,[PDF] entity-framework-code-first-for-it-men.pdf,https://www.pdfdrive.com/pdf-entity-framework-code-first-for-it-menpdf-e56791535.html,14,1
103,Penerapan Teknologi Web Service Untuk Integrasi Layanan Puskesmas dan Rumah Sakit,https://www.pdfdrive.com/penerapan-teknologi-web-service-untuk-integrasi-layanan-puskesmas-dan-rumah-sakit-e60904508.html,14,0
104,Innovation – Ambidextrie in Unternehmen,https://www.pdfdrive.com/innovation-ambidextrie-in-unternehmen-e113717773.html,14,1
105,LNCS 5727 - Play-Personas: Behaviours and Belief Systems in User-Centred Game Design,https://www.pdfdrive.com/lncs-5727-play-personas-behaviours-and-belief-systems-in-user-centred-game-design-e118100165.html,14,0
106,Lightweight Real-Time Collaborative Web Browsing - Mitsubishi,https://www.pdfdrive.com/lightweight-real-time-collaborative-web-browsing-mitsubishi-e16747542.html,13,0
107,Ubiquitous Awareness of Cooperative Activities in a Theatre of Work,https://www.pdfdrive.com/ubiquitous-awareness-of-cooperative-activities-in-a-theatre-of-work-e14053493.html,13,0
108,Accepted Version (PDF 369kB) - QUT ePrints,https://www.pdfdrive.com/accepted-version-pdf-369kb-qut-eprints-e13424487.html,13,0
109,The PDF file for the draft chapter,https://www.pdfdrive.com/the-pdf-file-for-the-draft-chapter-e12300265.html,13,0
110,Economics of the Single Cell Protein Production,https://www.pdfdrive.com/economics-of-the-single-cell-protein-production-e4472684.html,13,4
111,actionscript: a gentle introduction to programming - CiteSeer,https://www.pdfdrive.com/actionscript-a-gentle-introduction-to-programming-citeseer-e8450485.html,13,0
112,Optativas que se ofertan,https://www.pdfdrive.com/optativas-que-se-ofertan-e39490259.html,13,0
113,ジェイムズ・ジョイスの,https://www.pdfdrive.com/ジェイムズジョイスの-e55667536.html,13,0
114,Catholicism and the Irish State,https://www.pdfdrive.com/catholicism-and-the-irish-state-e47474341.html,13,1
115,Hydrographic controls on marine organic matter fate and sedimentary microbial diversity in the ...,https://www.pdfdrive.com/hydrographic-controls-on-marine-organic-matter-fate-and-sedimentary-microbial-diversity-in-the-e46329840.html,13,0
116,An Evaluation of the Safety of the Cycling in Dublin City for DIT Students,https://www.pdfdrive.com/an-evaluation-of-the-safety-of-the-cycling-in-dublin-city-for-dit-students-e163301076.html,13,0
117,"PPE Report of the External Expert Group & Institute's Response, June 2017",https://www.pdfdrive.com/ppe-report-of-the-external-expert-group-institutes-response-june-2017-e125503890.html,13,0
118,Hydrographic controls on marine organic matter fate and sedimentary microbial diversity in the ...,https://www.pdfdrive.com/hydrographic-controls-on-marine-organic-matter-fate-and-sedimentary-microbial-diversity-in-the-e62665702.html,13,0
119,Iron Carbon Equilibrium Diagrams - Summerhill College,https://www.pdfdrive.com/iron-carbon-equilibrium-diagrams-summerhill-college-e6572883.html,12,5
120,Iron Carbon Diagrams - Summerhill College,https://www.pdfdrive.com/iron-carbon-diagrams-summerhill-college-e5488205.html,12,2
121,"2 Kings 8:26, 2 Chronicles 22:2, King Ahaziah 22 and 42 Introduction The passages in question ...",https://www.pdfdrive.com/2-kings-826-2-chronicles-222-king-ahaziah-22-and-42-introduction-the-passages-in-question-e42047417.html,12,2
122,evolution from web 2.0 to web 3.0,https://www.pdfdrive.com/evolution-from-web-20-to-web-30-e46377722.html,12,2
123,March-April 2013 - Hennepin County Library,https://www.pdfdrive.com/march-april-2013-hennepin-county-library-e11991985.html,12,0
124,OOTI course Distributed Systems,https://www.pdfdrive.com/ooti-course-distributed-systems-e9602046.html,12,0
125,STAFF DEVELOPMENT RESPONSES TO THE DEMAND FOR ONLINE TEACHING AND,https://www.pdfdrive.com/staff-development-responses-to-the-demand-for-online-teaching-and-e2990660.html,12,0
126,Unix-shells-tcsh - Ocean Mapping Group,https://www.pdfdrive.com/unix-shells-tcsh-ocean-mapping-group-e14100989.html,12,0
127,Full CV - University of Edinburgh,https://www.pdfdrive.com/full-cv-university-of-edinburgh-e10976392.html,12,0
128,Increasing the Quality of Care During Times of Disaster,https://www.pdfdrive.com/increasing-the-quality-of-care-during-times-of-disaster-e17527960.html,12,0
129,Diploma in Digital Marketing - CIM Learning Zone,https://www.pdfdrive.com/diploma-in-digital-marketing-cim-learning-zone-e2754923.html,12,0
130,les design patterns,https://www.pdfdrive.com/les-design-patterns-e38978528.html,12,1
131,Brand Management in a Digital World,https://www.pdfdrive.com/brand-management-in-a-digital-world-e38206318.html,12,0
132,"RESOLUÇÃO CONSEPE/UFERSA Nº 017/2011, de 23 de",https://www.pdfdrive.com/resoluÇÃo-consepeufersa-nº-0172011-de-23-de-e25338411.html,12,0
133,Parte 3 La Historia de mi Vida.1,https://www.pdfdrive.com/parte-3-la-historia-de-mi-vida1-e34103777.html,12,0
134,Designing & Comparing Centralized TCP File Server with TCP,https://www.pdfdrive.com/designing-comparing-centralized-tcp-file-server-with-tcp-e11529432.html,12,0
135,Embedding the Organizational Culture ProÞle Into,https://www.pdfdrive.com/embedding-the-organizational-culture-proÞle-into-e18094733.html,12,0
136,Race 1 14.30 PACE GRADE G MEADOWBRANCH DUCHESS 1 STAKES ON THE PAN 2 ...,https://www.pdfdrive.com/race-1-1430-pace-grade-g-meadowbranch-duchess-1-stakes-on-the-pan-2-e43732730.html,12,0
137,Author's personal copy Comparison of Ion Coupling Strategies for a Microengineered Quadrupole ...,https://www.pdfdrive.com/authors-personal-copy-comparison-of-ion-coupling-strategies-for-a-microengineered-quadrupole-e43681267.html,12,0
138,Evaluating the Performance of Electronic Marketplaces,https://www.pdfdrive.com/evaluating-the-performance-of-electronic-marketplaces-e51475278.html,12,0
139,"2 Kings 8:26, 2 Chronicles 22:2, King Ahaziah 22 and 42 Introduction The passages in question ...",https://www.pdfdrive.com/2-kings-826-2-chronicles-222-king-ahaziah-22-and-42-introduction-the-passages-in-question-e52653504.html,12,0
140,7/19/2010 MATERIAL SAFETY DATA SHEET PRODUCT I,https://www.pdfdrive.com/7192010-material-safety-data-sheet-product-i-e91379205.html,12,0
141,Assessing the facilitators and barriers of interdisciplinary team working in primary care using,https://www.pdfdrive.com/assessing-the-facilitators-and-barriers-of-interdisciplinary-team-working-in-primary-care-using-e95194142.html,22,0
142,"Polycystic ovary syndrome, androgen excess, and the risk of nonalcoholic fatty liver disease in",https://www.pdfdrive.com/polycystic-ovary-syndrome-androgen-excess-and-the-risk-of-nonalcoholic-fatty-liver-disease-in-e97293918.html,20,0
143,"Polycystic ovary syndrome, androgen excess, and the risk of nonalcoholic fatty liver disease in",https://www.pdfdrive.com/polycystic-ovary-syndrome-androgen-excess-and-the-risk-of-nonalcoholic-fatty-liver-disease-in-e131234811.html,20,0
144,Risk factors and short-term projections for serotype-1 poliomyelitis incidence in Pakistan,https://www.pdfdrive.com/risk-factors-and-short-term-projections-for-serotype-1-poliomyelitis-incidence-in-pakistan-e120314279.html,20,0
145,Risk factors and short-term projections for serotype-1 poliomyelitis incidence in Pakistan,https://www.pdfdrive.com/risk-factors-and-short-term-projections-for-serotype-1-poliomyelitis-incidence-in-pakistan-e74659887.html,19,0
146,Animal-related factors associated with moderate-to-severe diarrhea in children younger than five,https://www.pdfdrive.com/animal-related-factors-associated-with-moderate-to-severe-diarrhea-in-children-younger-than-five-e120281897.html,19,0
147,"Sanitation practices and perceptions in Kakuma refugee camp, Kenya",https://www.pdfdrive.com/sanitation-practices-and-perceptions-in-kakuma-refugee-camp-kenya-e119776553.html,16,1
148,Attributional style and depressive symptoms in a male prison sample,https://www.pdfdrive.com/attributional-style-and-depressive-symptoms-in-a-male-prison-sample-e90190689.html,14,0
149,Attributional style and depressive symptoms in a male prison sample,https://www.pdfdrive.com/attributional-style-and-depressive-symptoms-in-a-male-prison-sample-e77916266.html,14,0
150,B2 prevents autoimmune disease driven by FasL mutation,https://www.pdfdrive.com/b2-prevents-autoimmune-disease-driven-by-fasl-mutation-e50669381.html,12,0
151,A14-1388,https://www.pdfdrive.com/a14-1388-e75063479.html,12,0
152,Jamie Reilly PhD,https://www.pdfdrive.com/jamie-reilly-phd-e29915722.html,17,0
153,Medial septum regulates the hippocampal spatial representation,https://www.pdfdrive.com/medial-septum-regulates-the-hippocampal-spatial-representation-e199056677.html,16,1
154,Global Matrix 2.0,https://www.pdfdrive.com/global-matrix-20-e101069130.html,24,0
155,Global Matrix 2.0: Report Card Grades on the Physical Activity of Children and Youth Comparing,https://www.pdfdrive.com/global-matrix-20-report-card-grades-on-the-physical-activity-of-children-and-youth-comparing-e77558419.html,24,0
156,u7- el falso documental - Apuntes y manuales de cinematografía,https://www.pdfdrive.com/u7-el-falso-documental-apuntes-y-manuales-de-cinematografía-e9973950.html,18,0
157,STUDY GUIDE FOR A BEGINNIN-G COURSE IN GROUND-WATER HYDROLOGY,https://www.pdfdrive.com/study-guide-for-a-beginnin-g-course-in-ground-water-hydrology-e2775065.html,24,1
158,full report,https://www.pdfdrive.com/full-report-e30176729.html,23,0
159,definition of boundary and initial conditions - Hydrogeology Group,https://www.pdfdrive.com/definition-of-boundary-and-initial-conditions-hydrogeology-group-e15040114.html,22,1
160,Boundary and Initial Conditions - USGS,https://www.pdfdrive.com/boundary-and-initial-conditions-usgs-e13225385.html,22,0
161,Definition of boundary and initial conditions...,https://www.pdfdrive.com/definition-of-boundary-and-initial-conditions-e18970629.html,22,1
162,Addiction Pharmacy,https://www.pdfdrive.com/addiction-pharmacy-e55277436.html,20,0
163,Addiction Pharmacy,https://www.pdfdrive.com/addiction-pharmacy-e116039687.html,20,0
164,Evidence and Cloud Computing - Innovative Information Science,https://www.pdfdrive.com/evidence-and-cloud-computing-innovative-information-science-e5707294.html,18,2
165,Hydroclimatic regimes,https://www.pdfdrive.com/hydroclimatic-regimes-e55380216.html,18,0
166,Partial Thickness Rotator Cuff Tears,https://www.pdfdrive.com/partial-thickness-rotator-cuff-tears-e45717840.html,15,0
167,Farnesoid X Receptor Signaling Shapes the Gut Microbiota and Controls Hepatic Lipid Metabolism,https://www.pdfdrive.com/farnesoid-x-receptor-signaling-shapes-the-gut-microbiota-and-controls-hepatic-lipid-metabolism-e35195101.html,17,0
168,Association between Inflammation and Cardiac Geometry in Chronic Kidney Disease,https://www.pdfdrive.com/association-between-inflammation-and-cardiac-geometry-in-chronic-kidney-disease-e69158405.html,12,0
169,Treatment of Prion Disease with Heterologous Prion Proteins,https://www.pdfdrive.com/treatment-of-prion-disease-with-heterologous-prion-proteins-e74951206.html,17,0
170,Treatment of Prion Disease with Heterologous Prion Proteins,https://www.pdfdrive.com/treatment-of-prion-disease-with-heterologous-prion-proteins-e117729326.html,17,0
171,Predicting introductory programming performance,https://www.pdfdrive.com/predicting-introductory-programming-performance-e54287884.html,22,0
172,New York v. EPA,https://www.pdfdrive.com/new-york-v-epa-e23696598.html,20,0
173,ABSN's 2017,https://www.pdfdrive.com/absns-2017-e48934614.html,21,0
174,February 2014,https://www.pdfdrive.com/february-2014-e21837852.html,20,0
175,Legal Notice Edition,https://www.pdfdrive.com/legal-notice-edition-e33208328.html,13,0
176,"Rumiación, preocupación y orientación negativa al problema",https://www.pdfdrive.com/rumiación-preocupación-y-orientación-negativa-al-problema-e135837276.html,12,0
177,ABSN's 2017,https://www.pdfdrive.com/absns-2017-e52654733.html,21,0
178,"1307 W. Wrightwood | Chicago, Illinois g . c o r p",https://www.pdfdrive.com/1307-w-wrightwood-chicago-illinois-g-c-o-r-p-e1152726.html,14,0
179,da vid lodge y el lenguaje del humor,https://www.pdfdrive.com/da-vid-lodge-y-el-lenguaje-del-humor-e57251347.html,13,0
180,da vid lodge y el lenguaje del humor,https://www.pdfdrive.com/da-vid-lodge-y-el-lenguaje-del-humor-e49124619.html,13,0
181,Interannual variability of dolphin habitats in the eastern tropical Pacific. 1,https://www.pdfdrive.com/interannual-variability-of-dolphin-habitats-in-the-eastern-tropical-pacific-1-e26592253.html,17,0
182,BSN Program Overview Learn More,https://www.pdfdrive.com/bsn-program-overview-learn-more-e50732997.html,21,0
183,"Table of Contents, etc. (p. i-xxi) - Los Alamos National Laboratory",https://www.pdfdrive.com/table-of-contents-etc-p-i-xxi-los-alamos-national-laboratory-e10952756.html,22,0
184,Prison Ministry Manual - the Catholic Diocese of Richmond,https://www.pdfdrive.com/prison-ministry-manual-the-catholic-diocese-of-richmond-e14709657.html,12,0
185,MUNICIPALITY COVERAGE,https://www.pdfdrive.com/municipality-coverage-e29086176.html,24,0
186,n L,https://www.pdfdrive.com/n-l-e37377950.html,24,1
187,Patent Law?,https://www.pdfdrive.com/patent-law-e166162438.html,22,0
188,The Kyoto Protocol and Developing Countries,https://www.pdfdrive.com/the-kyoto-protocol-and-developing-countries-e2153456.html,22,1
189,Bosworth 2016-2017 Marine Catalog.xlsx,https://www.pdfdrive.com/bosworth-2016-2017-marine-catalogxlsx-e84088488.html,16,0
190,van der Waals dispersion interactions in molecular materials,https://www.pdfdrive.com/van-der-waals-dispersion-interactions-in-molecular-materials-e48678341.html,13,0
191,Optimization of Heavy-Duty Cylinder Head Gasket Manufacturing Press Using Isight,https://www.pdfdrive.com/optimization-of-heavy-duty-cylinder-head-gasket-manufacturing-press-using-isight-e31379815.html,13,0
